Year,0_age_males,1_age_males,2_age_males,3_age_males,4_age_males,5_age_males,6_age_males,7_age_males,8_age_males,9_age_males,10_age_males,11_age_males,12_age_males,13_age_males,14_age_males,15_age_males,16_age_males,17_age_males,18_age_males,19_age_males,20_age_males,21_age_males,22_age_males,23_age_males,24_age_males,25_age_males,26_age_males,27_age_males,28_age_males,29_age_males,30_age_males,31_age_males,32_age_males,33_age_males,34_age_males,35_age_males,36_age_males,37_age_males,38_age_males,39_age_males,40_age_males,41_age_males,42_age_males,43_age_males,44_age_males,45_age_males,46_age_males,47_age_males,48_age_males,49_age_males,50_age_males,51_age_males,52_age_males,53_age_males,54_age_males,55_age_males,56_age_males,57_age_males,58_age_males,59_age_males,60_age_males,61_age_males,62_age_males,63_age_males,64_age_males,65_age_males,66_age_males,67_age_males,68_age_males,69_age_males,70_age_males,71_age_males,72_age_males,73_age_males,74_age_males,75_age_males,76_age_males,77_age_males,78_age_males,79_age_males,80_age_males,0_age_females,1_age_females,2_age_females,3_age_females,4_age_females,5_age_females,6_age_females,7_age_females,8_age_females,9_age_females,10_age_females,11_age_females,12_age_females,13_age_females,14_age_females,15_age_females,16_age_females,17_age_females,18_age_females,19_age_females,20_age_females,21_age_females,22_age_females,23_age_females,24_age_females,25_age_females,26_age_females,27_age_females,28_age_females,29_age_females,30_age_females,31_age_females,32_age_females,33_age_females,34_age_females,35_age_females,36_age_females,37_age_females,38_age_females,39_age_females,40_age_females,41_age_females,42_age_females,43_age_females,44_age_females,45_age_females,46_age_females,47_age_females,48_age_females,49_age_females,50_age_females,51_age_females,52_age_females,53_age_females,54_age_females,55_age_females,56_age_females,57_age_females,58_age_females,59_age_females,60_age_females,61_age_females,62_age_females,63_age_females,64_age_females,65_age_females,66_age_females,67_age_females,68_age_females,69_age_females,70_age_females,71_age_females,72_age_females,73_age_females,74_age_females,75_age_females,76_age_females,77_age_females,78_age_females,79_age_females,80_age_females
1900,0.145957,0.038141,0.019578,0.013529,0.010797,0.00794,0.005698,0.004073,0.003046,0.002555,0.002484,0.00267,0.002936,0.003154,0.003356,0.003673,0.004148,0.004676,0.005233,0.005797,0.006421,0.007024,0.007445,0.007616,0.007606,0.007526,0.007496,0.007554,0.007754,0.008057,0.008382,0.00867,0.008939,0.009172,0.00938,0.009603,0.009845,0.010077,0.010294,0.01051,0.010743,0.011015,0.011337,0.011722,0.012169,0.012677,0.013235,0.013831,0.014462,0.015145,0.01589,0.016732,0.017708,0.018841,0.020114,0.021543,0.023065,0.024592,0.026088,0.027618,0.029303,0.031228,0.033395,0.035841,0.038578,0.041585,0.044879,0.048518,0.052527,0.056907,0.061824,0.067136,0.072537,0.077928,0.083538,0.089449,0.096175,0.104262,0.113999,0.125035,0.136917,0.119694,0.036174,0.017817,0.012922,0.01031,0.007611,0.005501,0.003987,0.003057,0.002649,0.002642,0.002868,0.003138,0.003323,0.003462,0.003704,0.004106,0.004564,0.005063,0.005582,0.006149,0.0067,0.007123,0.007368,0.007478,0.007541,0.007627,0.007737,0.007897,0.008091,0.008286,0.008458,0.008613,0.008746,0.008865,0.008992,0.009133,0.009277,0.009424,0.009584,0.009769,0.00999,0.010246,0.010545,0.010892,0.011281,0.01173,0.012267,0.012904,0.013634,0.014448,0.015324,0.016243,0.017193,0.018192,0.019298,0.020518,0.021808,0.023166,0.024623,0.026265,0.028099,0.030063,0.032155,0.034434,0.036908,0.039712,0.04301,0.046894,0.051285,0.056272,0.061555,0.066713,0.071565,0.076428,0.081418,0.087271,0.094755,0.10428,0.115321,0.127633
1901,0.12802,0.032823,0.016881,0.01168,0.009325,0.007021,0.005207,0.003885,0.00304,0.002622,0.002542,0.002675,0.002885,0.003072,0.00326,0.003546,0.003966,0.004446,0.004971,0.005518,0.006121,0.006707,0.007144,0.007373,0.007452,0.007474,0.007535,0.00766,0.007889,0.008192,0.008518,0.008814,0.009073,0.009275,0.009443,0.009607,0.009804,0.010054,0.010372,0.010747,0.011162,0.011588,0.012008,0.012408,0.012809,0.013259,0.013771,0.014315,0.014893,0.015525,0.016217,0.017012,0.017968,0.019118,0.020437,0.021905,0.023465,0.025084,0.026734,0.028455,0.030354,0.03245,0.034671,0.037014,0.039531,0.042277,0.04533,0.048747,0.052577,0.05681,0.061702,0.067003,0.072215,0.077171,0.082246,0.087331,0.09347,0.102007,0.113557,0.127222,0.142168,0.104258,0.030607,0.015101,0.010958,0.008746,0.006607,0.00492,0.003679,0.002868,0.002443,0.002328,0.002419,0.002602,0.002796,0.003012,0.003326,0.003758,0.004234,0.004734,0.00524,0.005797,0.00634,0.006738,0.006934,0.006986,0.006972,0.006996,0.007101,0.007334,0.007655,0.008009,0.008316,0.008533,0.008622,0.008626,0.008595,0.008613,0.00873,0.008989,0.009351,0.009791,0.010214,0.01054,0.010722,0.010823,0.010909,0.011113,0.011532,0.01224,0.013172,0.014251,0.015343,0.016366,0.017255,0.018086,0.018959,0.020012,0.02131,0.022919,0.024787,0.026905,0.029123,0.031285,0.033309,0.035325,0.037512,0.04008,0.043129,0.046766,0.050934,0.055642,0.060694,0.06588,0.071102,0.07656,0.082249,0.088688,0.096503,0.105992,0.11674,0.128672
1902,0.125568,0.031764,0.016344,0.011312,0.009032,0.006788,0.005016,0.003714,0.002865,0.002423,0.002306,0.002399,0.002577,0.002752,0.002939,0.003226,0.003636,0.004095,0.004581,0.005077,0.005631,0.006171,0.006558,0.00673,0.006751,0.006709,0.006717,0.006827,0.007094,0.007473,0.007889,0.008263,0.008572,0.008782,0.008927,0.009057,0.009228,0.009452,0.009752,0.010113,0.010517,0.010924,0.011306,0.011642,0.011963,0.012317,0.012745,0.013247,0.01384,0.014526,0.015284,0.016126,0.01709,0.018192,0.019422,0.020782,0.022241,0.023763,0.02533,0.026975,0.02881,0.030828,0.032925,0.035083,0.037378,0.039839,0.042632,0.04594,0.049868,0.054324,0.059385,0.064717,0.069874,0.07466,0.079414,0.084272,0.090013,0.097437,0.106975,0.118079,0.130142,0.102616,0.030163,0.014885,0.010802,0.008621,0.006365,0.0046,0.003325,0.002529,0.00216,0.002124,0.002292,0.00252,0.002706,0.002877,0.00314,0.003532,0.003968,0.004431,0.004905,0.005426,0.005933,0.006305,0.00649,0.00654,0.006529,0.006553,0.006652,0.006872,0.007173,0.007505,0.007791,0.007988,0.008059,0.008045,0.008001,0.008004,0.008093,0.008307,0.008614,0.008982,0.00934,0.009647,0.009868,0.010047,0.010235,0.01051,0.010919,0.011502,0.012229,0.013062,0.013934,0.014808,0.015654,0.016512,0.017443,0.018511,0.019742,0.021168,0.022772,0.024584,0.026525,0.028484,0.030414,0.032407,0.034543,0.037002,0.039942,0.043467,0.047491,0.052064,0.056884,0.06157,0.065947,0.070313,0.07472,0.079912,0.086727,0.095591,0.105936,0.117516
1903,0.120313,0.02948,0.015185,0.010517,0.008399,0.006448,0.004909,0.003777,0.003039,0.002655,0.002553,0.002638,0.002803,0.002971,0.003156,0.003429,0.003812,0.004242,0.004704,0.005179,0.005707,0.006221,0.006597,0.00678,0.006825,0.006818,0.006854,0.006967,0.007202,0.007525,0.007877,0.008198,0.008483,0.008708,0.008895,0.009083,0.009305,0.009563,0.00987,0.010221,0.010597,0.01099,0.01141,0.011856,0.012331,0.012877,0.013464,0.014016,0.014506,0.014988,0.015498,0.016145,0.01703,0.018218,0.019656,0.021261,0.022934,0.024635,0.026324,0.028045,0.029952,0.032061,0.034248,0.036501,0.038893,0.041492,0.044426,0.047803,0.051703,0.056085,0.061018,0.066312,0.071707,0.077093,0.082694,0.08855,0.095197,0.103239,0.11298,0.124021,0.135942,0.098039,0.028195,0.013924,0.010107,0.008068,0.006219,0.004755,0.003667,0.002934,0.002521,0.00237,0.002405,0.002545,0.002727,0.002953,0.003277,0.003694,0.00412,0.004522,0.004902,0.005312,0.005726,0.006057,0.006272,0.006401,0.006494,0.006605,0.006748,0.006948,0.007185,0.007432,0.007656,0.00785,0.008002,0.008126,0.008246,0.008383,0.008534,0.008708,0.008903,0.009133,0.009382,0.009622,0.009845,0.010075,0.010338,0.010679,0.01113,0.011719,0.012431,0.013233,0.014105,0.015067,0.016119,0.017264,0.01852,0.019878,0.021312,0.022812,0.024399,0.026162,0.028084,0.030065,0.032081,0.034207,0.036529,0.039165,0.042189,0.045667,0.049579,0.053991,0.058759,0.063672,0.068649,0.073877,0.079353,0.085553,0.093054,0.102136,0.112425,0.123866
1904,0.12599,0.030739,0.015824,0.010955,0.008748,0.006629,0.004975,0.003787,0.003054,0.002725,0.002711,0.002889,0.003119,0.003304,0.00347,0.003723,0.004097,0.004505,0.004929,0.005356,0.005834,0.006304,0.006645,0.006804,0.006838,0.006816,0.006848,0.006998,0.007323,0.007773,0.008267,0.008717,0.0091,0.009378,0.009584,0.009785,0.010022,0.010281,0.010573,0.010897,0.011238,0.011601,0.012005,0.012458,0.012957,0.013532,0.014148,0.014736,0.015271,0.015803,0.016393,0.017125,0.018052,0.01922,0.020608,0.022107,0.023722,0.025565,0.027665,0.02997,0.032594,0.035316,0.037773,0.039816,0.041677,0.04357,0.045964,0.049235,0.053642,0.058945,0.06503,0.071286,0.07713,0.082245,0.087106,0.092092,0.098178,0.106174,0.11658,0.128805,0.142079,0.10272,0.028748,0.014194,0.010302,0.008224,0.006313,0.004821,0.003745,0.003069,0.002751,0.002715,0.002861,0.003074,0.003276,0.003479,0.003771,0.004166,0.004577,0.004979,0.005369,0.005788,0.006205,0.006529,0.006727,0.006831,0.006897,0.006982,0.007102,0.00728,0.007499,0.007726,0.007931,0.008112,0.008257,0.008379,0.008506,0.00865,0.008793,0.008938,0.009092,0.009274,0.00949,0.009738,0.010023,0.010355,0.010726,0.011161,0.0117,0.012362,0.013133,0.014014,0.014955,0.015897,0.016808,0.017737,0.018729,0.019878,0.021253,0.022905,0.024793,0.026963,0.029251,0.031438,0.033426,0.035381,0.037409,0.039876,0.043133,0.047391,0.052434,0.058189,0.064089,0.069552,0.074271,0.078693,0.0832,0.088697,0.095904,0.105284,0.116312,0.128586
1905,0.127917,0.029149,0.015017,0.010402,0.008308,0.006285,0.004701,0.003559,0.002845,0.002514,0.002483,0.002637,0.002849,0.003029,0.003199,0.003451,0.003818,0.004233,0.004682,0.005144,0.005663,0.006166,0.006513,0.006645,0.006628,0.006547,0.006527,0.006631,0.00692,0.007344,0.007809,0.00823,0.008603,0.008895,0.00913,0.009379,0.009659,0.00992,0.010157,0.010392,0.010607,0.010868,0.011276,0.011876,0.012613,0.013479,0.014323,0.014981,0.015363,0.015584,0.015799,0.016212,0.016921,0.018029,0.019469,0.021051,0.02271,0.024552,0.026577,0.02876,0.03121,0.033777,0.036175,0.038289,0.040295,0.042443,0.04501,0.048106,0.051868,0.056233,0.061126,0.066383,0.071905,0.07763,0.0837,0.090213,0.097454,0.105677,0.115034,0.125359,0.13646,0.103581,0.026747,0.013218,0.009596,0.007662,0.005853,0.004441,0.003425,0.002791,0.002499,0.002475,0.00262,0.002824,0.00301,0.003192,0.003455,0.003819,0.004202,0.004587,0.004964,0.005374,0.00578,0.006094,0.006279,0.006372,0.006423,0.006497,0.006622,0.006829,0.007091,0.007376,0.007629,0.007823,0.007934,0.007988,0.008034,0.008114,0.008237,0.008424,0.008666,0.008938,0.009227,0.009548,0.0099,0.010285,0.010731,0.011223,0.011726,0.012229,0.012758,0.013349,0.014044,0.014867,0.01584,0.016958,0.018193,0.019539,0.021024,0.022652,0.024425,0.026406,0.028541,0.03071,0.032871,0.035111,0.037544,0.040306,0.043463,0.047088,0.051153,0.055633,0.060446,0.065538,0.070879,0.076549,0.082724,0.089466,0.096699,0.104438,0.112749,0.12189
1906,0.130912,0.030383,0.015643,0.010831,0.008649,0.00638,0.004621,0.003371,0.002615,0.002299,0.002326,0.002562,0.002857,0.003105,0.003333,0.003653,0.004099,0.004574,0.005058,0.005535,0.006061,0.00657,0.006926,0.007071,0.007067,0.007004,0.006992,0.007077,0.007308,0.00765,0.008016,0.008355,0.008689,0.009005,0.009309,0.00964,0.009986,0.010293,0.010544,0.010766,0.010968,0.011218,0.011595,0.012141,0.01281,0.0136,0.014376,0.014983,0.015342,0.015561,0.015763,0.016159,0.016888,0.018063,0.019595,0.021309,0.023065,0.024867,0.026668,0.028503,0.030537,0.032754,0.034977,0.037168,0.039424,0.041893,0.044711,0.047922,0.051599,0.055738,0.060314,0.065301,0.070717,0.076569,0.082901,0.089745,0.097172,0.105248,0.114015,0.123446,0.13358,0.106581,0.028642,0.014142,0.010265,0.008194,0.005989,0.004284,0.003083,0.002378,0.002111,0.00218,0.002438,0.002723,0.002919,0.003065,0.003293,0.00365,0.004033,0.004424,0.004813,0.005238,0.005656,0.005973,0.00615,0.006228,0.006257,0.006314,0.006436,0.006658,0.006947,0.00726,0.007534,0.007737,0.007841,0.007876,0.007907,0.007973,0.008051,0.008154,0.008289,0.008426,0.008602,0.008894,0.009334,0.009886,0.010537,0.011194,0.011764,0.012191,0.012544,0.01292,0.013434,0.014132,0.015069,0.016214,0.01749,0.01885,0.020315,0.021875,0.023543,0.025411,0.027444,0.02952,0.031604,0.03378,0.036154,0.038853,0.041945,0.045498,0.049492,0.053911,0.058674,0.063717,0.069007,0.074632,0.080733,0.087418,0.0947,0.102627,0.111205,0.120686
1907,0.124971,0.028211,0.014541,0.010076,0.008048,0.005991,0.004395,0.003262,0.00258,0.002301,0.002337,0.002564,0.002847,0.003088,0.003315,0.003619,0.004044,0.004529,0.005066,0.005625,0.006248,0.00684,0.007236,0.007361,0.007297,0.007156,0.007085,0.007151,0.007428,0.007857,0.008328,0.008753,0.009143,0.009468,0.009746,0.010044,0.01037,0.010674,0.010947,0.011211,0.011456,0.011746,0.012169,0.012767,0.013491,0.014343,0.015177,0.015823,0.01619,0.016399,0.016592,0.016992,0.017733,0.018934,0.020506,0.022269,0.02409,0.025996,0.027947,0.02997,0.032222,0.034667,0.037115,0.039519,0.041988,0.044634,0.047652,0.051182,0.055334,0.060038,0.065326,0.070949,0.076604,0.082156,0.087861,0.093832,0.100642,0.108875,0.118844,0.130156,0.142476,0.1023,0.026534,0.013114,0.009521,0.007602,0.005655,0.004142,0.003063,0.002406,0.002127,0.00214,0.002328,0.00256,0.002745,0.002908,0.003148,0.003499,0.00388,0.004275,0.004672,0.005111,0.00554,0.005847,0.005986,0.006007,0.005973,0.005981,0.006087,0.006341,0.006699,0.007089,0.007433,0.007709,0.007883,0.007984,0.008085,0.008214,0.008334,0.008448,0.008571,0.008695,0.008858,0.009118,0.009504,0.009992,0.010571,0.011174,0.011728,0.012195,0.01263,0.013103,0.013713,0.014524,0.01559,0.016874,0.018305,0.019819,0.021408,0.023051,0.024774,0.026707,0.028824,0.03098,0.03314,0.0354,0.037857,0.040679,0.043993,0.047898,0.052336,0.057302,0.062616,0.068095,0.07365,0.079455,0.085609,0.092479,0.100414,0.109611,0.119838,0.131218
1908,0.120211,0.026877,0.013865,0.009612,0.007679,0.005788,0.004308,0.003236,0.002562,0.002241,0.002201,0.002339,0.002542,0.002731,0.002922,0.003191,0.003565,0.003985,0.004436,0.004898,0.005413,0.005906,0.006241,0.006354,0.006313,0.006208,0.006159,0.006216,0.006438,0.006779,0.007158,0.007503,0.007808,0.008047,0.008242,0.00845,0.008696,0.008959,0.009247,0.009563,0.009878,0.010227,0.010682,0.011275,0.011965,0.012775,0.013577,0.014195,0.014544,0.014741,0.0149,0.015255,0.015983,0.017215,0.018836,0.020656,0.022483,0.024276,0.025956,0.027589,0.02941,0.031435,0.033468,0.035477,0.037571,0.039871,0.04255,0.045726,0.049499,0.053833,0.058619,0.0638,0.069433,0.075517,0.082075,0.089058,0.096555,0.104716,0.1136,0.123103,0.13337,0.098422,0.025142,0.012435,0.00903,0.007211,0.00537,0.003942,0.002928,0.002316,0.002062,0.002085,0.002271,0.002495,0.002668,0.002813,0.003034,0.003358,0.003699,0.004038,0.004369,0.004731,0.00509,0.005359,0.005503,0.00556,0.005574,0.005617,0.005728,0.005941,0.006224,0.006534,0.00681,0.007025,0.007152,0.007219,0.007281,0.007374,0.00749,0.007641,0.007828,0.00803,0.008259,0.008548,0.008911,0.009337,0.009833,0.010359,0.010864,0.011326,0.011781,0.012284,0.012897,0.013647,0.014565,0.015639,0.016835,0.018131,0.019541,0.021061,0.022703,0.024543,0.02655,0.028623,0.030732,0.032953,0.03536,0.038084,0.041223,0.044854,0.048932,0.053508,0.058395,0.063346,0.068257,0.073331,0.078701,0.084795,0.092013,0.100589,0.110265,0.12103
1909,0.114568,0.025923,0.013381,0.009281,0.007415,0.005494,0.004,0.002937,0.002296,0.00203,0.002053,0.002246,0.002473,0.00264,0.002776,0.002986,0.003309,0.003667,0.004049,0.00444,0.004873,0.005294,0.005605,0.005761,0.005808,0.005815,0.00586,0.005968,0.006176,0.006456,0.006761,0.00705,0.007326,0.007575,0.00781,0.008058,0.008336,0.008635,0.008959,0.009311,0.009671,0.010058,0.010512,0.01105,0.01165,0.012343,0.013044,0.013623,0.014025,0.014334,0.014642,0.015111,0.015857,0.016969,0.018379,0.019968,0.021616,0.023299,0.024969,0.026677,0.028558,0.030649,0.032869,0.035219,0.037745,0.040531,0.043615,0.046984,0.050658,0.054677,0.059067,0.063886,0.069196,0.075039,0.081411,0.088268,0.095612,0.103499,0.111944,0.120934,0.130626,0.093674,0.024276,0.012012,0.008724,0.006967,0.005147,0.003731,0.002723,0.002114,0.001858,0.001876,0.002053,0.002263,0.002416,0.002539,0.002735,0.003035,0.003363,0.003702,0.004044,0.004418,0.004787,0.005069,0.005231,0.005306,0.005349,0.005415,0.005523,0.005696,0.005918,0.006148,0.006359,0.006559,0.00674,0.006908,0.007091,0.007284,0.007448,0.007575,0.007685,0.007792,0.00794,0.008176,0.008527,0.00897,0.009497,0.010042,0.010532,0.010932,0.011295,0.011685,0.012206,0.012931,0.013918,0.015123,0.016495,0.017936,0.01939,0.020813,0.022266,0.023857,0.025667,0.027694,0.029972,0.032503,0.03532,0.038381,0.041625,0.045031,0.048673,0.052616,0.05699,0.061901,0.067426,0.073516,0.080135,0.087157,0.094484,0.102056,0.109974,0.118718
